"","species","body_mass","mean_v","mean_log_v","sd_v","sd_log_v","max_v","max_log_v"
"1","Fox",4820.36,0.635086644743368,-0.962077199714236,0.555415823861119,1.26743726670503,3.36752753444947,1.21417880579441
"2","Hedgehog",777.95,0.259332489325532,-2.01039177431047,0.309974967429041,1.34742651572116,1.57944120146567,0.457071114524469
"3","takin",294515.33,0.0878554178513323,-7.01099974873597,0.210563738531393,5.07698389528663,2.29712430537903,0.831658038646304
"4","himalayan black bear",99714.19,0.146711301896973,-6.03692277085546,0.223139625059265,5.38932453665802,0.783342903599119,-0.244184743226096
"5","takin young",1e+05,0.0870851461662352,-5.32954027338164,0.0802752058618237,4.70294765704864,0.297476126185146,-1.21242130533366
"6","agouti",2309.12,0.25336652836168,-1.68817458419809,0.235384104136818,0.806678125734556,3.33,1.20297230399235
"7","coati",3775.5,0.320481284750567,-1.47544732988183,0.293782805963718,0.866904288165284,2.25,0.810930216216329
"8","ocelot",11880,0.397123542170316,-1.08834713063543,0.215718418277882,0.615662541867962,1.17,0.157003748809665
"9","squirrel",545.4,0.24780971790105,-1.77219047120987,0.260240410937826,0.867185292818655,1.5,0.405465108108164
"10","paca",8172.55,0.262748488493328,-1.55802818350542,0.221199000797909,0.64988526781984,2.25,0.810930216216329
"11","rat",282.17,0.224036248168365,-1.82804188878514,0.213249574716065,0.821755150110054,1.269,0.238229188732251
"12","tamandua",4800,0.316076962949331,-1.38551448934566,0.244123776955391,0.714338286143731,1.224,0.202124184090134
"13","peccary",21133.69,0.297676023224288,-1.5410249084662,0.306719208750663,0.819751719013593,2.88,1.05779029414785
"14","brocket",20546.86,0.271747105093601,-1.58262790977719,0.237467316471903,0.766978312544205,2.16,0.770108221696074
"15","mouse",19.3,0.166698270237514,-2.08205504930923,0.161852053709294,0.762478256528149,1.0125,0.0124225199985571
"16","armadillo",3949.01,0.439082944996814,-1.23089488769532,0.550415031154757,0.855896999096259,3.375,1.21639532432449
"17","opossum",1134.75,0.276461104684789,-1.56921913564484,0.233573595317289,0.802233891189136,1.125,0.117783035656383
